Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
										5.440E+2	3.880E-3
										5.444E+2	3.827E-3
										5.447E+2	3.796E-3
										5.451E+2	3.794E-3
										5.454E+2	3.798E-3
										5.458E+2	3.731E-3
										5.461E+2	3.710E-3
										5.464E+2	3.684E-3
										5.468E+2	3.638E-3
										5.471E+2	3.651E-3
										5.475E+2	3.622E-3
										5.478E+2	3.586E-3
										5.482E+2	3.572E-3
										5.485E+2	3.583E-3
										5.489E+2	3.562E-3
										5.492E+2	3.496E-3
										5.496E+2	3.486E-3
										5.499E+2	3.461E-3
										5.503E+2	3.423E-3
										5.506E+2	3.466E-3
										5.510E+2	3.378E-3
										5.513E+2	3.391E-3
										5.516E+2	3.306E-3
										5.520E+2	3.336E-3
										5.523E+2	3.308E-3
										5.527E+2	3.286E-3
										5.530E+2	3.268E-3
										5.534E+2	3.264E-3
										5.537E+2	3.223E-3
										5.541E+2	3.159E-3
										5.544E+2	3.139E-3
										5.548E+2	3.113E-3
										5.551E+2	3.102E-3
										5.555E+2	3.056E-3
										5.558E+2	3.065E-3
										5.561E+2	3.043E-3
										5.565E+2	3.030E-3
										5.568E+2	2.953E-3
										5.572E+2	2.955E-3
										5.575E+2	2.956E-3
										5.579E+2	2.912E-3
										5.582E+2	2.872E-3
										5.586E+2	2.883E-3
										5.589E+2	2.827E-3
										5.592E+2	2.832E-3
										5.596E+2	2.774E-3
										5.599E+2	2.754E-3
										5.603E+2	2.764E-3
										5.606E+2	2.722E-3
										5.610E+2	2.700E-3
										5.613E+2	2.668E-3
										5.617E+2	2.660E-3
										5.620E+2	2.578E-3
										5.624E+2	2.590E-3
										5.627E+2	2.582E-3
										5.630E+2	2.553E-3
										5.634E+2	2.493E-3
										5.637E+2	2.490E-3
										5.641E+2	2.455E-3
										5.644E+2	2.400E-3
										5.648E+2	2.410E-3
										5.651E+2	2.366E-3
										5.655E+2	2.358E-3
										5.658E+2	2.335E-3
										5.662E+2	2.310E-3
										5.665E+2	2.264E-3
										5.668E+2	2.217E-3
										5.672E+2	2.199E-3
										5.675E+2	2.187E-3
										5.679E+2	2.149E-3
										5.682E+2	2.144E-3
										5.686E+2	2.130E-3
										5.689E+2	2.100E-3
										5.692E+2	2.093E-3
										5.696E+2	2.011E-3
										5.699E+2	2.010E-3
										5.703E+2	2.012E-3
										5.706E+2	1.990E-3
										5.710E+2	1.967E-3
										5.713E+2	1.912E-3
										5.717E+2	1.897E-3
										5.720E+2	1.859E-3
										5.723E+2	1.877E-3
										5.727E+2	1.835E-3
										5.730E+2	1.807E-3
										5.734E+2	1.790E-3
										5.737E+2	1.765E-3
										5.741E+2	1.731E-3
										5.744E+2	1.713E-3
										5.748E+2	1.699E-3
										5.751E+2	1.653E-3
										5.754E+2	1.625E-3
										5.758E+2	1.669E-3
										5.761E+2	1.609E-3
										5.765E+2	1.589E-3
										5.768E+2	1.546E-3
										5.772E+2	1.551E-3
										5.775E+2	1.541E-3
										5.778E+2	1.497E-3
										5.782E+2	1.474E-3
										5.785E+2	1.459E-3
										5.789E+2	1.428E-3
										5.792E+2	1.418E-3
										5.795E+2	1.423E-3
										5.799E+2	1.376E-3
										5.802E+2	1.386E-3
										5.806E+2	1.354E-3
										5.809E+2	1.338E-3
										5.813E+2	1.323E-3
										5.816E+2	1.315E-3
										5.820E+2	1.284E-3
										5.823E+2	1.260E-3
										5.826E+2	1.236E-3
										5.830E+2	1.213E-3
										5.833E+2	1.247E-3
										5.837E+2	1.201E-3
										5.840E+2	1.190E-3
										5.843E+2	1.168E-3
										5.847E+2	1.152E-3
										5.850E+2	1.136E-3
										5.854E+2	1.120E-3
										5.857E+2	1.126E-3
										5.861E+2	1.101E-3
										5.864E+2	1.075E-3
										5.867E+2	1.059E-3
										5.871E+2	1.043E-3
										5.874E+2	1.016E-3
										5.878E+2	1.046E-3
										5.881E+2	1.002E-3
										5.885E+2	1.006E-3
										5.888E+2	9.999E-4
										5.891E+2	9.750E-4
										5.895E+2	9.576E-4
										5.898E+2	9.641E-4
										5.902E+2	9.329E-4
										5.905E+2	9.421E-4
										5.908E+2	9.231E-4
										5.912E+2	9.144E-4
										5.915E+2	9.015E-4
										5.919E+2	8.688E-4
										5.922E+2	8.717E-4
										5.925E+2	8.898E-4
										5.929E+2	8.638E-4
										5.932E+2	8.492E-4
										5.936E+2	8.396E-4
										5.939E+2	8.182E-4
										5.942E+2	8.038E-4
										5.946E+2	7.907E-4
										5.949E+2	8.095E-4
										5.953E+2	7.927E-4
										5.956E+2	7.796E-4
										5.960E+2	7.811E-4
										5.963E+2	7.720E-4
										5.966E+2	7.644E-4
										5.970E+2	7.467E-4
										5.973E+2	7.343E-4
										5.977E+2	7.242E-4
										5.980E+2	7.179E-4
										5.983E+2	6.948E-4
										5.987E+2	7.275E-4
										5.990E+2	6.865E-4
										5.994E+2	6.937E-4
										5.997E+2	6.640E-4
										6.000E+2	6.778E-4
										6.004E+2	6.619E-4
										6.007E+2	6.525E-4
										6.011E+2	6.512E-4
										6.014E+2	6.403E-4
										6.017E+2	6.274E-4
										6.021E+2	6.023E-4
										6.024E+2	6.233E-4
										6.028E+2	6.143E-4
										6.031E+2	6.052E-4
										6.034E+2	5.851E-4
										6.038E+2	5.812E-4
										6.041E+2	5.703E-4
										6.045E+2	5.759E-4
										6.048E+2	5.788E-4
										6.051E+2	5.629E-4
										6.055E+2	5.493E-4
										6.058E+2	5.437E-4
										6.062E+2	5.352E-4
										6.065E+2	5.330E-4
										6.068E+2	5.308E-4
										6.072E+2	5.216E-4
										6.075E+2	5.136E-4
										6.078E+2	5.070E-4
										6.082E+2	4.848E-4
										6.085E+2	4.922E-4
										6.089E+2	4.839E-4
										6.092E+2	4.739E-4
