Wav (nm)	CalR)	Wav (nm)	MeasuredR	Torg (nm)	Tmir (nm)	
Wavelength (nm) - Plot 0	Reflectance - Plot 0	Wavelength (nm) - ÇúÏß 1	Reflectance - ÇúÏß 1	
		484.75	0.35	
		485.10	0.36	
		485.46	0.37	
		485.81	0.37	
		486.17	0.37	
		486.52	0.38	
		486.87	0.38	
		487.23	0.40	
		487.58	0.40	
		487.94	0.40	
		488.29	0.41	
		488.64	0.41	
		489.00	0.42	
		489.35	0.42	
		489.70	0.43	
		490.06	0.44	
		490.41	0.44	
		490.76	0.44	
		491.12	0.45	
		491.47	0.45	
		491.83	0.46	
		492.18	0.46	
		492.53	0.47	
		492.88	0.47	
		493.24	0.47	
		493.59	0.49	
		493.94	0.49	
		494.30	0.50	
		494.65	0.49	
		495.00	0.50	
		495.36	0.51	
		495.71	0.51	
		496.06	0.52	
		496.41	0.52	
		496.77	0.52	
		497.12	0.53	
		497.47	0.52	
		497.83	0.54	
		498.18	0.53	
		498.53	0.54	
		498.88	0.54	
		499.24	0.55	
		499.59	0.56	
		499.94	0.55	
		500.29	0.57	
		500.65	0.57	
		501.00	0.56	
		501.35	0.58	
		501.70	0.58	
		502.05	0.58	
		502.41	0.58	
		502.76	0.59	
		503.11	0.59	
		503.46	0.60	
		503.81	0.60	
		504.17	0.60	
		504.52	0.61	
		504.87	0.60	
		505.22	0.62	
		505.57	0.61	
		505.93	0.61	
		506.28	0.62	
		506.63	0.62	
		506.98	0.63	
		507.33	0.64	
		507.68	0.64	
		508.03	0.65	
		508.39	0.65	
		508.74	0.64	
		509.09	0.65	
		509.44	0.66	
		509.79	0.66	
		510.14	0.65	
		510.49	0.66	
		510.84	0.67	
		511.20	0.67	
		511.55	0.67	
		511.90	0.67	
		512.25	0.68	
		512.60	0.68	
		512.95	0.69	
		513.30	0.68	
		513.65	0.68	
		514.00	0.68	
		514.35	0.70	
		514.70	0.69	
		515.06	0.70	
		515.41	0.70	
		515.76	0.71	
		516.11	0.70	
		516.46	0.71	
		516.81	0.71	
		517.16	0.72	
		517.51	0.72	
		517.86	0.72	
		518.21	0.73	
		518.56	0.72	
		518.91	0.72	
		519.26	0.73	
		519.61	0.73	
		519.96	0.74	
		520.31	0.74	
		520.66	0.73	
		521.01	0.74	
		521.36	0.75	
		521.71	0.74	
		522.06	0.76	
		522.41	0.76	
		522.76	0.76	
		523.11	0.76	
		523.46	0.76	
		523.81	0.77	
		524.16	0.76	
		524.51	0.77	
		524.86	0.78	
		525.21	0.77	
		525.56	0.78	
		525.91	0.78	
		526.25	0.78	
		526.60	0.79	
		526.95	0.79	
		527.30	0.79	
		527.65	0.79	
		528.00	0.80	
		528.35	0.80	
		528.70	0.80	
		529.05	0.80	
		529.40	0.81	
		529.75	0.81	
		530.09	0.80	
		530.44	0.81	
		530.79	0.81	
		531.14	0.81	
		531.49	0.81	
		531.84	0.81	
		532.19	0.82	
		532.54	0.82	
		532.88	0.83	
		533.23	0.83	
		533.58	0.83	
		533.93	0.82	
		534.28	0.84	
		534.63	0.83	
		534.97	0.83	
		535.32	0.84	
		535.67	0.83	
		536.02	0.84	
		536.37	0.83	
		536.71	0.84	
		537.06	0.83	
		537.41	0.85	
		537.76	0.84	
		538.11	0.84	
		538.45	0.85	
		538.80	0.84	
		539.15	0.85	
		539.50	0.85	
		539.85	0.85	
		540.19	0.86	
		540.54	0.86	
		540.89	0.85	
		541.24	0.85	
		541.58	0.86	
		541.93	0.86	
		542.28	0.86	
		542.63	0.86	
		542.97	0.86	
		543.32	0.86	
		543.67	0.87	
		544.02	0.87	
		544.36	0.88	
		544.71	0.88	
		545.06	0.87	
		545.40	0.87	
		545.75	0.88	
		546.10	0.88	
		546.44	0.88	
		546.79	0.88	
		547.14	0.89	
		547.48	0.88	
		547.83	0.88	
		548.18	0.89	
		548.52	0.89	
		548.87	0.89	
		549.22	0.89	
		549.56	0.89	
		549.91	0.89	
		550.26	0.89	
		550.60	0.90	
		550.95	0.90	
		551.30	0.90	
		551.64	0.90	
		551.99	0.89	
		552.34	0.90	
		552.68	0.90	
		553.03	0.90	
		553.37	0.90	
		553.72	0.90	
		554.07	0.90	
		554.41	0.91	
		554.76	0.91	
		555.10	0.91	
		555.45	0.91	
		555.80	0.91	
		556.14	0.92	
		556.49	0.91	
		556.83	0.91	
		557.18	0.91	
		557.52	0.91	
		557.87	0.91	
		558.21	0.91	
		558.56	0.91	
		558.91	0.92	
		559.25	0.91	
		559.60	0.92	
		559.94	0.92	
		560.29	0.92	
		560.63	0.93	
		560.98	0.92	
		561.32	0.92	
		561.67	0.92	
		562.01	0.92	
		562.36	0.92	
		562.70	0.93	
		563.05	0.92	
		563.39	0.93	
		563.74	0.93	
		564.08	0.92	
		564.43	0.93	
		564.77	0.93	
		565.11	0.93	
		565.46	0.93	
		565.80	0.93	
