Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
9.000E+0	7.468E-3	2.557E-4	1.867E+2	4.908E+4	2.629E+1	9.172E+0	6.951E+0			4.045E+2	2.110E-7
9.200E+0	8.186E-3	2.730E-4	2.046E+2	5.239E+4	2.560E+1	8.738E+0	6.769E+0			4.048E+2	5.498E-6
9.400E+0	8.939E-3	2.904E-4	2.235E+2	5.575E+4	2.494E+1	8.333E+0	6.596E+0			4.052E+2	1.036E-5
9.600E+0	9.730E-3	3.082E-4	2.433E+2	5.915E+4	2.432E+1	7.953E+0	6.429E+0			4.055E+2	8.669E-6
9.800E+0	1.057E-2	3.262E-4	2.643E+2	6.260E+4	2.368E+1	7.588E+0	6.262E+0			4.059E+2	1.480E-6
1.000E+1	1.144E-2	3.444E-4	2.859E+2	6.610E+4	2.312E+1	7.260E+0	6.114E+0			4.063E+2	4.018E-6
										4.066E+2	6.555E-6
										4.070E+2	3.172E-6
										4.074E+2	8.035E-6
										4.077E+2	2.326E-6
										4.081E+2	1.205E-5
										4.084E+2	4.652E-6
										4.088E+2	4.230E-7
										4.092E+2	6.340E-7
										4.095E+2	2.110E-7
										4.099E+2	1.903E-6
										4.102E+2	1.036E-5
										4.106E+2	7.612E-6
										4.110E+2	2.115E-6
										4.113E+2	5.075E-6
										4.117E+2	6.132E-6
										4.121E+2	8.458E-6
										4.124E+2	3.172E-6
										4.128E+2	2.960E-6
										4.131E+2	3.383E-6
										4.135E+2	3.383E-6
										4.139E+2	3.595E-6
										4.142E+2	1.903E-6
										4.146E+2	2.115E-6
										4.150E+2	1.057E-6
										4.153E+2	4.440E-6
										4.157E+2	4.230E-7
										4.160E+2	2.749E-6
										4.164E+2	7.612E-6
										4.168E+2	3.383E-6
										4.171E+2	1.057E-6
										4.175E+2	5.286E-6
										4.178E+2	1.692E-6
										4.182E+2	5.075E-6
										4.186E+2	8.460E-7
										4.189E+2	4.652E-6
										4.193E+2	4.863E-6
										4.196E+2	1.036E-5
										4.200E+2	2.326E-6
										4.204E+2	4.440E-6
										4.207E+2	6.132E-6
										4.211E+2	9.728E-6
										4.215E+2	0.000E+0
										4.218E+2	1.205E-5
										4.222E+2	1.522E-5
										4.225E+2	5.709E-6
										4.229E+2	6.766E-6
										4.233E+2	1.480E-6
										4.236E+2	2.537E-6
										4.240E+2	8.460E-7
										4.243E+2	8.247E-6
										4.247E+2	3.595E-6
										4.251E+2	1.057E-6
										4.254E+2	2.326E-6
										4.258E+2	2.749E-6
										4.261E+2	1.269E-6
										4.265E+2	5.498E-6
										4.269E+2	1.269E-6
										4.272E+2	6.340E-7
										4.276E+2	1.480E-6
										4.280E+2	3.595E-6
										4.283E+2	0.000E+0
										4.287E+2	7.189E-6
										4.290E+2	4.229E-6
										4.294E+2	5.709E-6
										4.298E+2	3.806E-6
										4.301E+2	1.480E-6
										4.305E+2	4.229E-6
										4.308E+2	1.480E-6
										4.312E+2	2.326E-6
										4.315E+2	1.480E-6
										4.319E+2	9.304E-6
										4.323E+2	1.269E-6
										4.326E+2	6.132E-6
										4.330E+2	9.092E-6
										4.334E+2	1.903E-6
										4.337E+2	2.960E-6
										4.341E+2	2.960E-6
										4.344E+2	2.537E-6
										4.348E+2	1.057E-6
										4.351E+2	6.555E-6
										4.355E+2	4.229E-6
										4.359E+2	2.749E-6
										4.362E+2	2.749E-6
										4.366E+2	4.440E-6
										4.370E+2	4.652E-6
										4.373E+2	6.555E-6
										4.377E+2	3.172E-6
										4.380E+2	8.247E-6
										4.384E+2	1.459E-5
										4.387E+2	2.537E-6
										4.391E+2	3.172E-6
										4.395E+2	8.460E-7
										4.398E+2	9.728E-6
										4.402E+2	4.229E-6
										4.405E+2	7.401E-6
										4.409E+2	1.692E-6
										4.412E+2	5.709E-6
										4.416E+2	3.595E-6
										4.420E+2	2.326E-6
										4.423E+2	5.498E-6
										4.427E+2	7.824E-6
										4.430E+2	1.184E-5
										4.434E+2	3.806E-6
										4.438E+2	4.230E-7
										4.441E+2	1.480E-6
										4.445E+2	5.286E-6
										4.448E+2	1.903E-6
										4.452E+2	2.537E-6
										4.456E+2	4.652E-6
										4.459E+2	5.286E-6
										4.463E+2	2.110E-7
										4.466E+2	1.057E-6
										4.470E+2	0.000E+0
										4.474E+2	2.960E-6
										4.477E+2	8.460E-7
										4.481E+2	7.189E-6
										4.484E+2	8.460E-7
										4.488E+2	5.709E-6
										4.491E+2	1.269E-6
										4.495E+2	6.340E-7
										4.499E+2	5.921E-6
										4.502E+2	3.595E-6
										4.506E+2	0.000E+0
										4.509E+2	4.230E-7
										4.513E+2	2.110E-7
										4.516E+2	3.172E-6
										4.520E+2	3.806E-6
										4.524E+2	3.383E-6
										4.527E+2	9.092E-6
										4.531E+2	0.000E+0
										4.534E+2	5.709E-6
										4.538E+2	0.000E+0
										4.541E+2	2.537E-6
										4.545E+2	3.595E-6
										4.549E+2	8.247E-6
										4.552E+2	1.311E-5
										4.556E+2	1.226E-5
										4.559E+2	5.498E-6
										4.563E+2	4.229E-6
										4.566E+2	6.343E-6
										4.570E+2	5.286E-6
										4.574E+2	9.304E-6
										4.577E+2	9.516E-6
										4.581E+2	8.247E-6
										4.584E+2	5.498E-6
										4.588E+2	4.018E-6
										4.591E+2	4.652E-6
										4.595E+2	2.749E-6
										4.599E+2	5.709E-6
										4.602E+2	4.863E-6
										4.606E+2	3.383E-6
										4.609E+2	8.458E-6
										4.613E+2	7.189E-6
										4.616E+2	9.939E-6
										4.620E+2	9.939E-6
										4.624E+2	6.766E-6
										4.627E+2	9.304E-6
										4.631E+2	4.229E-6
										4.634E+2	3.383E-6
										4.638E+2	4.652E-6
										4.641E+2	7.189E-6
										4.645E+2	2.749E-6
										4.649E+2	3.383E-6
										4.652E+2	1.692E-6
										4.656E+2	9.939E-6
										4.659E+2	5.709E-6
										4.663E+2	3.383E-6
										4.666E+2	4.652E-6
										4.670E+2	4.652E-6
										4.674E+2	1.692E-6
										4.677E+2	1.692E-6
										4.681E+2	2.960E-6
										4.684E+2	8.458E-6
										4.688E+2	3.595E-6
										4.691E+2	4.652E-6
										4.695E+2	4.230E-7
										4.698E+2	9.092E-6
										4.702E+2	1.522E-5
										4.705E+2	8.458E-6
										4.709E+2	7.824E-6
										4.713E+2	1.269E-5
										4.716E+2	2.516E-5
										4.720E+2	1.374E-5
										4.723E+2	1.713E-5
										4.727E+2	1.734E-5
										4.730E+2	1.459E-5
										4.734E+2	1.797E-5
										4.738E+2	2.432E-5
										4.741E+2	2.072E-5
										4.745E+2	2.347E-5
										4.748E+2	3.193E-5
										4.752E+2	2.326E-5
										4.755E+2	2.453E-5
										4.759E+2	4.504E-5
										4.762E+2	3.806E-5
										4.766E+2	3.743E-5
										4.770E+2	4.018E-5
										4.773E+2	3.172E-5
										4.777E+2	4.948E-5
										4.780E+2	4.483E-5
										4.784E+2	4.293E-5
										4.787E+2	4.842E-5
										4.791E+2	5.858E-5
										4.794E+2	6.238E-5
										4.798E+2	6.682E-5
										4.801E+2	7.042E-5
										4.805E+2	7.930E-5
										4.809E+2	7.380E-5
										4.812E+2	8.184E-5
										4.816E+2	8.458E-5
										4.819E+2	9.283E-5
										4.823E+2	1.047E-4
										4.826E+2	1.159E-4
										4.830E+2	1.062E-4
										4.833E+2	1.267E-4
										4.837E+2	1.292E-4
										4.840E+2	1.381E-4
										4.844E+2	1.457E-4
										4.848E+2	1.613E-4
										4.851E+2	1.671E-4
										4.855E+2	1.821E-4
										4.858E+2	1.941E-4
										4.862E+2	2.013E-4
										4.865E+2	2.123E-4
										4.869E+2	2.381E-4
										4.872E+2	2.339E-4
										4.876E+2	2.590E-4
										4.879E+2	2.891E-4
										4.883E+2	2.960E-4
										4.886E+2	3.123E-4
										4.890E+2	3.242E-4
										4.894E+2	3.641E-4
										4.897E+2	3.785E-4
										4.901E+2	4.054E-4
										4.904E+2	4.248E-4
										4.908E+2	4.578E-4
										4.911E+2	4.804E-4
										4.915E+2	5.056E-4
										4.918E+2	5.583E-4
										4.922E+2	5.849E-4
										4.925E+2	6.268E-4
										4.929E+2	6.758E-4
										4.932E+2	7.143E-4
										4.936E+2	7.503E-4
										4.939E+2	7.862E-4
										4.943E+2	8.308E-4
										4.946E+2	8.735E-4
										4.950E+2	9.416E-4
										4.954E+2	9.761E-4
										4.957E+2	1.036E-3
										4.961E+2	1.089E-3
										4.964E+2	1.117E-3
										4.968E+2	1.208E-3
										4.971E+2	1.261E-3
										4.975E+2	1.333E-3
										4.978E+2	1.388E-3
										4.982E+2	1.464E-3
										4.985E+2	1.557E-3
										4.989E+2	1.591E-3
										4.992E+2	1.673E-3
										4.996E+2	1.749E-3
										4.999E+2	1.827E-3
										5.003E+2	1.893E-3
										5.006E+2	1.990E-3
										5.010E+2	2.048E-3
										5.014E+2	2.146E-3
										5.017E+2	2.230E-3
										5.020E+2	2.330E-3
										5.024E+2	2.385E-3
										5.028E+2	2.480E-3
										5.031E+2	2.549E-3
										5.035E+2	2.652E-3
										5.038E+2	2.739E-3
										5.042E+2	2.841E-3
										5.045E+2	2.946E-3
										5.049E+2	3.008E-3
										5.052E+2	3.099E-3
										5.056E+2	3.186E-3
										5.059E+2	3.317E-3
										5.063E+2	3.374E-3
										5.066E+2	3.437E-3
										5.070E+2	3.559E-3
										5.073E+2	3.613E-3
										5.077E+2	3.752E-3
										5.080E+2	3.782E-3
										5.084E+2	3.908E-3
										5.087E+2	3.983E-3
										5.091E+2	4.052E-3
										5.094E+2	4.140E-3
										5.098E+2	4.249E-3
										5.101E+2	4.287E-3
										5.105E+2	4.424E-3
										5.108E+2	4.476E-3
										5.112E+2	4.508E-3
										5.115E+2	4.612E-3
										5.119E+2	4.696E-3
										5.122E+2	4.677E-3
										5.126E+2	4.774E-3
										5.130E+2	4.885E-3
										5.133E+2	4.878E-3
										5.137E+2	4.903E-3
										5.140E+2	4.934E-3
										5.143E+2	5.017E-3
										5.147E+2	5.047E-3
										5.151E+2	5.089E-3
										5.154E+2	5.124E-3
										5.158E+2	5.188E-3
										5.161E+2	5.166E-3
										5.165E+2	5.200E-3
										5.168E+2	5.244E-3
										5.172E+2	5.265E-3
										5.175E+2	5.299E-3
										5.179E+2	5.298E-3
										5.182E+2	5.299E-3
										5.186E+2	5.313E-3
										5.189E+2	5.337E-3
										5.193E+2	5.339E-3
										5.196E+2	5.368E-3
										5.200E+2	5.356E-3
										5.203E+2	5.335E-3
										5.207E+2	5.372E-3
										5.210E+2	5.356E-3
										5.214E+2	5.340E-3
										5.217E+2	5.375E-3
										5.221E+2	5.396E-3
										5.224E+2	5.339E-3
										5.228E+2	5.373E-3
										5.231E+2	5.335E-3
										5.235E+2	5.355E-3
										5.238E+2	5.310E-3
										5.242E+2	5.335E-3
										5.245E+2	5.320E-3
										5.249E+2	5.298E-3
										5.252E+2	5.303E-3
										5.256E+2	5.274E-3
										5.259E+2	5.271E-3
										5.262E+2	5.266E-3
										5.266E+2	5.236E-3
										5.270E+2	5.194E-3
										5.273E+2	5.201E-3
										5.277E+2	5.172E-3
										5.280E+2	5.172E-3
										5.283E+2	5.126E-3
										5.287E+2	5.131E-3
										5.290E+2	5.096E-3
										5.294E+2	5.096E-3
										5.298E+2	5.039E-3
										5.301E+2	5.013E-3
										5.304E+2	4.993E-3
										5.308E+2	4.940E-3
										5.311E+2	4.927E-3
										5.315E+2	4.963E-3
										5.318E+2	4.893E-3
										5.322E+2	4.864E-3
										5.325E+2	4.834E-3
										5.329E+2	4.815E-3
										5.332E+2	4.804E-3
										5.336E+2	4.730E-3
										5.339E+2	4.722E-3
										5.343E+2	4.688E-3
										5.346E+2	4.662E-3
										5.350E+2	4.671E-3
										5.353E+2	4.607E-3
										5.357E+2	4.577E-3
										5.360E+2	4.575E-3
										5.364E+2	4.528E-3
										5.367E+2	4.480E-3
										5.371E+2	4.448E-3
										5.374E+2	4.419E-3
										5.378E+2	4.436E-3
										5.381E+2	4.380E-3
										5.385E+2	4.364E-3
										5.388E+2	4.334E-3
										5.392E+2	4.318E-3
										5.395E+2	4.250E-3
										5.398E+2	4.219E-3
										5.402E+2	4.264E-3
										5.405E+2	4.222E-3
										5.409E+2	4.160E-3
										5.412E+2	4.136E-3
										5.416E+2	4.144E-3
										5.419E+2	4.112E-3
										5.423E+2	4.040E-3
										5.426E+2	4.048E-3
										5.430E+2	4.009E-3
										5.433E+2	3.965E-3
										5.437E+2	3.990E-3
										5.440E+2	3.979E-3
										5.444E+2	3.901E-3
										5.447E+2	3.918E-3
										5.451E+2	3.902E-3
										5.454E+2	3.875E-3
										5.458E+2	3.841E-3
										5.461E+2	3.824E-3
										5.464E+2	3.798E-3
										5.468E+2	3.774E-3
										5.471E+2	3.783E-3
										5.475E+2	3.734E-3
										5.478E+2	3.729E-3
										5.482E+2	3.675E-3
										5.485E+2	3.665E-3
										5.489E+2	3.668E-3
										5.492E+2	3.573E-3
										5.496E+2	3.619E-3
										5.499E+2	3.570E-3
										5.503E+2	3.589E-3
										5.506E+2	3.553E-3
										5.510E+2	3.513E-3
										5.513E+2	3.515E-3
										5.516E+2	3.494E-3
										5.520E+2	3.472E-3
										5.523E+2	3.443E-3
										5.527E+2	3.386E-3
										5.530E+2	3.420E-3
										5.534E+2	3.391E-3
										5.537E+2	3.369E-3
										5.541E+2	3.308E-3
										5.544E+2	3.327E-3
										5.548E+2	3.280E-3
										5.551E+2	3.261E-3
										5.555E+2	3.235E-3
										5.558E+2	3.212E-3
										5.561E+2	3.223E-3
										5.565E+2	3.132E-3
										5.568E+2	3.107E-3
										5.572E+2	3.105E-3
										5.575E+2	3.074E-3
										5.579E+2	3.068E-3
										5.582E+2	2.980E-3
										5.586E+2	3.031E-3
										5.589E+2	2.949E-3
										5.592E+2	2.940E-3
										5.596E+2	2.939E-3
										5.599E+2	2.886E-3
										5.603E+2	2.905E-3
										5.606E+2	2.839E-3
										5.610E+2	2.801E-3
										5.613E+2	2.831E-3
										5.617E+2	2.753E-3
										5.620E+2	2.772E-3
										5.624E+2	2.761E-3
										5.627E+2	2.712E-3
										5.630E+2	2.696E-3
										5.634E+2	2.632E-3
										5.637E+2	2.593E-3
										5.641E+2	2.596E-3
										5.644E+2	2.573E-3
										5.648E+2	2.557E-3
										5.651E+2	2.503E-3
										5.655E+2	2.482E-3
										5.658E+2	2.494E-3
										5.662E+2	2.412E-3
										5.665E+2	2.445E-3
										5.668E+2	2.375E-3
										5.672E+2	2.321E-3
										5.675E+2	2.335E-3
										5.679E+2	2.297E-3
										5.682E+2	2.280E-3
										5.686E+2	2.266E-3
										5.689E+2	2.232E-3
										5.692E+2	2.207E-3
										5.696E+2	2.166E-3
										5.699E+2	2.164E-3
										5.703E+2	2.126E-3
										5.706E+2	2.105E-3
										5.710E+2	2.045E-3
										5.713E+2	2.081E-3
										5.717E+2	2.003E-3
										5.720E+2	2.012E-3
										5.723E+2	1.966E-3
										5.727E+2	1.962E-3
										5.730E+2	1.901E-3
										5.734E+2	1.909E-3
										5.737E+2	1.876E-3
										5.741E+2	1.826E-3
										5.744E+2	1.832E-3
										5.748E+2	1.807E-3
										5.751E+2	1.776E-3
										5.754E+2	1.739E-3
										5.758E+2	1.736E-3
										5.761E+2	1.701E-3
										5.765E+2	1.698E-3
										5.768E+2	1.667E-3
										5.772E+2	1.662E-3
										5.775E+2	1.663E-3
										5.778E+2	1.613E-3
										5.782E+2	1.577E-3
										5.785E+2	1.584E-3
										5.789E+2	1.542E-3
										5.792E+2	1.531E-3
										5.795E+2	1.531E-3
										5.799E+2	1.481E-3
										5.802E+2	1.464E-3
										5.806E+2	1.451E-3
										5.809E+2	1.400E-3
										5.813E+2	1.428E-3
										5.816E+2	1.380E-3
										5.820E+2	1.368E-3
										5.823E+2	1.363E-3
										5.826E+2	1.342E-3
										5.830E+2	1.329E-3
										5.833E+2	1.310E-3
										5.837E+2	1.284E-3
										5.840E+2	1.241E-3
										5.843E+2	1.240E-3
										5.847E+2	1.252E-3
										5.850E+2	1.224E-3
										5.854E+2	1.199E-3
										5.857E+2	1.186E-3
										5.861E+2	1.178E-3
										5.864E+2	1.182E-3
										5.867E+2	1.132E-3
										5.871E+2	1.137E-3
										5.874E+2	1.103E-3
										5.878E+2	1.112E-3
										5.881E+2	1.093E-3
										5.885E+2	1.070E-3
										5.888E+2	1.077E-3
										5.891E+2	1.056E-3
										5.895E+2	1.046E-3
										5.898E+2	1.029E-3
										5.902E+2	1.011E-3
										5.905E+2	1.028E-3
										5.908E+2	9.854E-4
										5.912E+2	9.748E-4
										5.915E+2	9.636E-4
										5.919E+2	9.355E-4
										5.922E+2	9.522E-4
										5.925E+2	9.239E-4
										5.929E+2	9.408E-4
